,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
T6 Carlingford Line,Concession,"2,667","5,146","3,481","3,184","2,210","1,508","1,267","1,895","4,632","2,969","4,216","2,690","2,284","4,878","3,288","3,331","2,449","1,687","1,227","1,879","4,367","3,161","4,068","2,486","2,179","4,291","3,289","3,616","2,537","1,652","1,619","2,254","4,605","3,838"
T6 Carlingford Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,631,805,808,"1,045",829
T6 Carlingford Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,
T6 Carlingford Line,Employee,175,229,213,244,276,179,210,221,304,224,255,252,189,260,264,324,"1,195","1,186",848,"1,265","1,475","1,202","1,579","1,280","1,258","1,749","1,526","1,670","1,703","1,265","1,296","1,635","1,694","1,333"
T6 Carlingford Line,Free Travel,12,12,24,22,20,19,21,28,45,34,34,26,47,31,24,28,31,13,4,18,27,14,12,2,9,19,17,15,20,18,16,16,33,27
T6 Carlingford Line,School Student,366,816,557,579,903,371,49,913,"1,144",351,"1,135","1,058",543,"1,226",853,935,"1,270",551,115,"1,159","1,383",517,"1,383","1,150",669,"1,493","1,236",897,"1,443",819,119,"1,551","1,809",935
T6 Carlingford Line,Senior/Pensioner,"3,095","3,729","3,831","3,566","3,758","3,596","2,857","2,958","3,766","3,122","3,270","3,260","3,430","3,366","3,465","3,077","3,660","3,512","2,722","3,483","4,286","3,355","4,019","3,623","3,996","4,401","4,285","3,969","4,437","3,484","3,417","3,572","4,258","3,971"
T6 Carlingford Line,Sgl Trip Rail Adult,10,77,63,45,75,55,50,37,106,45,44,49,77,88,55,37,78,90,24,72,92,26,30,61,50,71,98,32,99,63,56,37,67,41
T6 Carlingford Line,Sgl Trip Rail Child/Youth,2,4,7,3,3,5,7,3,5,9,4,9,12,9,4,8,5,32,12,8,5,10,6,9,11,14,15,8,18,9,12,5,9,8
T7 Olympic Park Line,Adult,"124,590","124,612","102,987","116,328","104,223","99,922","88,806","104,382","131,435","139,793","137,642","122,355","145,031","104,418","106,662","119,772","124,790","109,677","87,544","98,841","114,620","99,771","117,970","114,049","142,274","135,406","114,671","121,705","123,807","98,591","125,483","117,609","124,265","103,777"
T7 Olympic Park Line,Child/Youth,"7,793","5,922","5,995","6,631","11,449","7,369","6,091","3,762","6,611","15,299","5,618","6,220","11,150","4,517","6,599","5,611","10,590","6,458","5,593","5,304","7,689","6,479","5,075","5,014","9,716","6,536","5,592","6,527","9,517","5,121","7,047","5,516","4,884","8,345"
T7 Olympic Park Line,Concession,"9,387","11,671","8,768","9,347","5,890","7,274","4,661","5,629","12,672","11,059","12,533","8,258","9,020","9,464","8,579","9,078","7,946","7,120","4,440","5,453","10,747","7,842","9,409","7,103","8,469","9,766","7,186","7,395","7,050","5,333","6,232","6,519","10,040","7,654"
T7 Olympic Park Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,"1,884","3,395","3,556","4,166","3,250"
T7 Olympic Park Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,,1,,2,1,1,3
T7 Olympic Park Line,Employee,437,570,484,575,431,430,360,469,519,634,493,525,612,426,345,469,423,378,288,380,542,372,414,370,471,453,375,489,441,332,570,493,495,641
T7 Olympic Park Line,Free Travel,35,73,49,41,33,43,37,43,32,93,31,43,34,32,18,44,31,49,32,42,96,61,46,39,82,55,52,178,60,37,58,45,48,80
T7 Olympic Park Line,School Student,"1,175","2,552","1,768","1,625","2,442",981,134,"2,189","2,918","1,096","3,536","2,795","1,574","2,472","1,733","1,847","2,499",845,115,"1,975","2,351",903,"3,078","2,291","1,527","2,719","2,140","1,440","2,861","1,031",141,"2,615","2,773","1,338"
T7 Olympic Park Line,Senior/Pensioner,"8,427","8,560","8,645","11,173","8,285","7,777","7,190","8,095","8,798","13,448","7,884","8,676","10,536","6,497","6,759","9,310","8,554","8,272","6,809","7,516","9,642","7,746","7,640","7,746","9,975","9,229","8,248","10,628","9,059","7,661","10,157","8,746","8,748","9,791"
T7 Olympic Park Line,Sgl Trip Rail Adult,291,"1,715","1,124","1,303","1,123","1,124",894,929,"1,437","1,405","1,206","1,298","2,021","1,069","1,331","1,400","1,618","1,800",875,"1,383","1,562","1,098","1,074","1,493","1,499","2,102","1,472","1,352","1,279","1,065","1,080","1,010","1,093",803
T7 Olympic Park Line,Sgl Trip Rail Child/Youth,65,211,296,304,260,236,253,114,248,463,184,231,628,185,399,244,307,354,231,241,391,323,142,213,374,394,340,328,211,204,257,185,169,332
Blue Mountains Line,Adult,"537,669","578,758","570,413","571,910","585,478","541,787","520,123","541,509","642,195","550,579","643,957","602,442","606,060","622,278","559,449","604,281","633,477","550,864","540,790","585,012","644,837","579,488","657,062","602,743","624,720","663,242","571,384","625,070","653,824","538,261","560,421","549,645","632,718","508,418"
Blue Mountains Line,Child/Youth,"36,387","28,601","35,034","38,633","32,013","46,411","54,242","28,641","33,442","46,118","27,270","33,177","49,681","29,820","35,433","38,292","33,305","47,969","52,872","33,044","36,973","47,382","28,790","34,261","49,026","32,224","27,359","40,505","33,644","41,482","52,803","26,925","32,483","39,759"
Blue Mountains Line,Concession,"60,238","73,100","59,729","56,798","46,476","37,017","33,551","42,213","83,278","58,885","75,311","53,146","51,079","76,554","57,666","59,466","50,094","38,526","35,574","43,233","77,503","63,474","75,350","54,728","50,302","76,900","54,910","57,715","47,553","33,674","32,996","39,735","72,636","49,804"
Blue Mountains Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,"7,277","9,951","9,684","13,443","12,285"
Blue Mountains Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,5,1,,,,,,2,6,,3,4,,,,,,2,4,
Blue Mountains Line,Day Pass without SAF,,,,,,,,,,,,,,,21,6,,,1,,1,8,13,25,28,35,19,33,46,36,30,30,57,45
Blue Mountains Line,Employee,"10,085","11,719","11,397","11,079","12,310","10,700","9,708","10,926","12,972","9,869","12,566","11,621","11,025","11,507","9,751","10,391","11,385","10,413","9,817","10,962","12,550","11,486","13,541","12,570","12,680","13,350","10,247","11,978","12,553","10,062","10,610","10,642","12,269","9,197"
Blue Mountains Line,Free Travel,919,"1,158","1,090","1,020","1,146","1,039",897,"1,000","1,270","1,001","1,266","1,129","1,151","1,172",947,"1,045","1,169","1,029",952,"1,098","1,230","1,218","1,216","1,059","1,158","1,249",757,964,966,783,730,874,973,807
Blue Mountains Line,School Student,"14,260","31,641","24,076","21,476","28,187","11,641","1,948","30,315","36,445","12,097","36,279","30,140","14,426","31,734","20,991","21,587","28,299","11,439","2,132","31,853","34,938","14,881","39,184","32,610","16,713","37,434","30,478","19,405","32,380","15,264","2,370","34,185","38,157","15,702"
